,Station1,Station1_Lat,Station1_Lon,Station2,Station2_Lat,Station2_Lon,velocity_period_1,velocity_period_2,velocity_period_3,velocity_period_4,velocity_period_5,velocity_period_6,velocity_period_7,velocity_period_8,velocity_period_9,velocity_period_10,velocity_period_11,velocity_period_12,velocity_period_13,velocity_period_14,velocity_period_15
0,UW.LTY,47.25451,-120.66636,XD.MH01,46.263901,-122.806267,,,,,,,,,,,,,,,
1,XD.MJ03,46.1591,-122.564957,YH.MF00,46.348202,-122.241699,,,,,,,,,,,,,,,
2,UW.COWS,47.6656,-121.93075,UW.GNW,47.56413,-122.82498,,,,,,,,,,,,,,,
3,CC.MAR,46.28532,-122.29667,CC.PR02,46.918303,-122.048695,,,,,2.375292805519054,,,,,,,,,,
4,UW.GMW,47.5488,-122.78546,UW.HSR,46.17428,-122.18065,,,,,,,,,,,,,,,
5,XD.MI05,46.231098,-122.292122,YH.MF00,46.348202,-122.241699,,,,,,,,,,,,,,,
6,CC.LOO,46.22375,-122.18439,UW.CINE,46.5566,-122.5673,,,,,,,,,,,,,,,
7,UW.LON,46.750599,-121.809601,XD.MC06,46.552021,-122.157204,,,,,2.7861598039215685,,,,,,,,,,
8,XD.MD05,46.523159,-122.278168,XD.MJ01,46.193741,-122.811256,,,,,2.9895497741163966,,,,,,,,,,
9,XD.MD09,46.50288,-121.706711,XD.ME06,46.463291,-122.196968,,,,,,,,,,,,,,,
10,XD.MK06,46.118408,-122.192528,YH.MF42,46.326698,-122.238403,,,,,,,,,,,,,,,
11,TA.E04D,46.556599,-122.567299,UW.ASR,46.15259,-121.60164,,,,,2.916848506401138,,,,,,,,,,
12,XD.ME08,46.461948,-121.865639,XD.MK08,46.117378,-122.046066,,,,,2.157015625,,,,,,,,,,
13,UW.MOX,46.577004,-120.299609,YW.FACD,46.6619,-122.852097,,,,,2.3972888602251405,,,,,,,,,,
14,CC.VALT,46.214218,-122.189247,CC.VOIT,46.96636,-121.98328,,,,,2.3145825242718447,,,,,,,,,,
15,CC.TAVI,46.7957,-121.88423,UW.MORSE,47.68901,-122.51448,,,,,,,,,,,,,,,
16,XD.MG06,46.35014,-122.217453,XD.MJ03,46.1591,-122.564957,,,,,,,,,,,,,,,
17,UW.COWS,47.6656,-121.93075,UW.TOLT,47.6947,-121.6895,,,,,,,,,,,,,,,
18,CC.ARAT,46.789,-121.853,UW.SP2,47.55629,-122.249229,,,,,,,,,,,,,,,
19,CC.ELBE,46.76645,-122.19329,UW.MORSE,47.68901,-122.51448,,,,,,,,,,,,,,,
20,UW.LACKA,46.85162,-122.48621,UW.TBLMT,47.1731,-120.59827,,,,,2.6078333333333332,,,,,,,,,,
21,UW.EDM,46.19717,-122.15121,XU.E070,46.509201,-122.453903,,,,,,,,,,,,,,,
22,CC.STD,46.23749,-122.22421,XD.MI09,46.22937,-121.834473,,,,,,,,,,,,,,,
23,UW.TBM,47.16985,-120.59918,UW.TRW,46.292068,-120.543121,,,,,,,,,,,,,,,
24,UW.MANO,46.951105,-120.724695,UW.SP2,47.55629,-122.249229,,,,,,,,,,,,,,,
25,UW.FL2,46.19622,-122.351486,UW.WPW,46.698639,-121.537338,,,,,,,,,,,,,,,
26,CC.SWF2,46.178349,-122.216766,XD.ME08,46.461948,-121.865639,,,,,2.3365671704450044,,,,,,,,,,
27,UW.CDF,46.11712,-122.04625,XD.MH09,46.297668,-121.801033,,,,,2.649251543942993,,,,,,,,,,
28,CC.PR01,46.910103,-122.037586,UW.FMW,46.941914,-121.671465,,,,,,,,,,,,,,,
